name,album,popularity,artist,release_date,length,album_art,album_type,duration_ms,explicit,preview_url,track_no,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,Song URL,Own_Song?,Length_s,Right_Field_1,id,small_album_art,Right_ActualURL,Artist_Name,Collaborator
Around The World,20,17,Mafikizolo,11/24/2017,270440,https://i.scdn.co/image/68f3c417f0d81acc4c313604c9948745cfd8c596,album,270440,FALSE,,12,0.782,0.0318,0.785,1.32E-06,0.119,-4.139,0.0421,104.008,4,0.794,https://open.spotify.com/track/1qMLaYRP5F8WdYbDnkdarg,No,270.44,9,5VaJdyFRG30hBV44mHqMHx,https://i.scdn.co/image/b83163325a4c7677875631044eb3d2e2f2868b2d,https://open.spotify.com/album/5VaJdyFRG30hBV44mHqMHx,Wizkid,Mafikizolo
Many Men (feat. Wizkid),#Powerful,6,Illbliss,6/12/2015,217965,https://i.scdn.co/image/65e438cc725c2cc8ccd991529315451f24836ef2,album,217965,TRUE,https://p.scdn.co/mp3-preview/91f178ab50f71e8500bad346271460897faa01b0?cid=b50ee957f7824fa5806358e8fe3a1598,6,0.76,0.224,0.958,0,0.108,-0.784,0.0554,99.986,4,0.898,https://open.spotify.com/track/1uOxMoSHuISADS4F4XPKg0,No,217.965,3,5FbSez2H3iZYQ10GJWiXUC,https://i.scdn.co/image/292482235b953a10a48a9bd6e2b4e1ff737d3824,https://open.spotify.com/album/5FbSez2H3iZYQ10GJWiXUC,Wizkid,Illbliss
Follow Me (feat. Wizkid),6ix O' clock,13,Yung6ix,2/6/2014,256120,https://i.scdn.co/image/1f9f03e99cf40241aed16ecb0fc8f2f7406db99b,album,256120,FALSE,https://p.scdn.co/mp3-preview/4088392b782f06507c08170ac6daaf4747026154?cid=b50ee957f7824fa5806358e8fe3a1598,16,0.477,0.058,0.738,0,0.0875,-6.4,0.223,83.316,3,0.495,https://open.spotify.com/track/16NmfILPLJiNAZiFVhdmOR,No,256.12,32,39M9lQYurOE3iLYo6l93wx,https://i.scdn.co/image/7197ad86b783ecd89c9e36f8e4f3e3831f962cc8,https://open.spotify.com/album/39M9lQYurOE3iLYo6l93wx,Wizkid,Yung6ix
Blown Away,About Time,14,Angel,1/1/2013,227004,https://i.scdn.co/image/140c6a70213e5d821c9262222aef7b41b6dfafbc,album,227004,FALSE,,3,0.535,0.0248,0.824,0,0.346,-6.079,0.0556,92.984,4,0.449,https://open.spotify.com/track/1T8xTFsI0RCqJYMVjxXQJ8,No,227.004,1,5JpzMxMNOFMgcI1KYTd9Dy,https://i.scdn.co/image/6a76e8d93e78fc9b7744e4e0b491e28b3800a7d4,https://open.spotify.com/album/5JpzMxMNOFMgcI1KYTd9Dy,Wizkid,Angel
Jeje,According to X,33,DJ Xclusive,9/21/2015,236329,https://i.scdn.co/image/7ae49950005bab6fea0849dbe141595005016c01,album,236329,FALSE,https://p.scdn.co/mp3-preview/a55b75ee0969a21223d20ba144bff7762fadec97?cid=b50ee957f7824fa5806358e8fe3a1598,15,0.838,0.381,0.931,0,0.286,-3.015,0.153,128.007,4,0.966,https://open.spotify.com/track/4M0aSJh5QW8IWNfgYSWYGG,No,236.329,45,2K68QnBW5jKb4BrYJAyI4t,https://i.scdn.co/image/d7c7b607a70ba093a572239ccaf63dc5886b73d6,https://open.spotify.com/album/2K68QnBW5jKb4BrYJAyI4t,Wizkid,DJ Xclusive
Let the Music Play - Remix,AfroFunkyDiscoSoul,0,DJ Klem,10/14/2016,264463,https://i.scdn.co/image/3b4ae8873a2433406d7fccf01410ae41d417f8c5,album,264463,FALSE,https://p.scdn.co/mp3-preview/d6b526c162f9a140ba69fe475233f87a65d95e4c?cid=b50ee957f7824fa5806358e8fe3a1598,3,0.622,0.254,0.926,1.02E-05,0.217,-4.499,0.261,132.132,4,0.781,https://open.spotify.com/track/4vfRlY7vpJyTGSOOrGuG6O,No,264.463,11,5V7ztpGenORKlkpjZlnrnK,https://i.scdn.co/image/abc0feba59322114ff01febdd11448e497e67ebc,https://open.spotify.com/album/5V7ztpGenORKlkpjZlnrnK,Wizkid,DJ Klem
Undercover Lover,Afropop 101,26,Legendury Beatz,2/17/2017,197647,https://i.scdn.co/image/7f799eaa807c948670b175f4a746e7ad96e75390,album,197647,FALSE,https://p.scdn.co/mp3-preview/4a0dbda9e3cac7a7fc235a34c8060c0c3736095f?cid=b50ee957f7824fa5806358e8fe3a1598,5,0.498,0.209,0.577,0,0.0928,-4.383,0.183,66.332,5,0.618,https://open.spotify.com/track/4cfpQ4U2mGI79gyC10isTc,No,197.647,49,7xsYDQB0wtuuXZlY6mp4Ol,https://i.scdn.co/image/2f55b2a175c63bb3f433d957607e3bead1e89e8e,https://open.spotify.com/album/7xsYDQB0wtuuXZlY6mp4Ol,Wizkid,Legendury Beatz
Eleniyan,Alaga Ibile,11,Reminisce,11/7/2013,222000,https://i.scdn.co/image/21057ed9810c16ae91d9d33de79fb5c8d1015f46,album,222000,FALSE,https://p.scdn.co/mp3-preview/67609d5b87c9bcbae852d6280c55de926081f041?cid=b50ee957f7824fa5806358e8fe3a1598,5,0.814,0.0231,0.777,5.90E-06,0.348,-5.329,0.234,105.008,4,0.197,https://open.spotify.com/track/52IqzUAFEPeIJTbgDwDG0Z,No,222,39,4t0xCLC7zxXm6hGbkq9UHI,https://i.scdn.co/image/3360a1ceea68e0663e935327c8557954079e415a,https://open.spotify.com/album/4t0xCLC7zxXm6hGbkq9UHI,Wizkid,Reminisce
Alright,Alright,36,Kiddominant,4/14/2018,212000,https://i.scdn.co/image/ee843b426dd344fa76ea76f38c1ba3ee549d9e09,single,212000,TRUE,https://p.scdn.co/mp3-preview/dbcb6c92448ddab0a82bf9e4e11cf258064bc072?cid=b50ee957f7824fa5806358e8fe3a1598,1,0.53,0.22,0.615,0,0.134,-6.316,0.208,128.056,5,0.491,https://open.spotify.com/track/6uQbBVbJSPQQPicB0YU3cL,No,212,45,2vNsZSDSOFIy3MniNtRqbY,https://i.scdn.co/image/a41f5cf7e4339a3d81411897f3fb61b05305741c,https://open.spotify.com/album/2vNsZSDSOFIy3MniNtRqbY,Wizkid,Kiddominant
Bombay (feat. Phyno),Ayo,30,WizKid,9/17/2014,200830,https://i.scdn.co/image/60c82a682c4f72cec59754af36269bb7036363fe,album,200830,TRUE,https://p.scdn.co/mp3-preview/83f02113e7403d41ab211bcc86679482ce3b31a7?cid=b50ee957f7824fa5806358e8fe3a1598,13,0.682,0.221,0.929,3.50E-06,0.363,-2.997,0.0674,103.035,4,0.746,https://open.spotify.com/track/7LiIALKspf8ntHKHXxA25o,Yes,200.83,2,2O8egayngzl1fm5dcE4VX9,https://i.scdn.co/image/bd32f23793f006f6ed172093266ecc549d9db907,https://open.spotify.com/album/2O8egayngzl1fm5dcE4VX9,Wizkid,None
